Rank,Address,NFT_Count,Total_DOLO,Vote_Weight,Earliest_Lock_End,Latest_Lock_End,Token_IDs
84,0xeE8B368B8Cbe53C2C9344b6C36356A9F5BB2bF2e,1,0,32.6211,,,186
85,0x4f2E1c0c1E2c2F5309C19b04D6d47F0080e1890D,1,0,214.5342,,,189
86,0x44c6988aE9DD86be7E30306f4eF0Fbbd716bf0D0,6,0,31203.4932,,,193;15867;16801;18605;20768;21357
87,0x8A2FA09530F858D2B064d5539aa755E8b901033a,4,0,10325.8475,,,194;263;8430;23491
88,0x6d1AfE57141Eaf3e99D0A49e6563409BafF240d0,1,0,601.9406,,,195
89,0xCf143B0E9BCF524511D382684c63D786e41763B3,1,0,2722.1742,,,196
90,0x506135F9A4eD73b05bF22773EE80de92334FB155,1,0,443.4306,,,197
91,0xe58EBC8dcC0295E0eB74E94663A9dba1BdEBBb13,1,0,190.3163,,,201
92,0xd6f631C796a56A5d448Dd88a01f15058c4A0Be52,1,0,69167.5074,,,202
93,0xB15Fd8bd9Ebe6C9134f889fbDdaa42b51a60a289,3,0,356.1037,,,205;348;4217
94,0x9deBADcAAE4820092c8Ff7DC741C9ec7D9E95027,1,0,4139.2099,,,206
95,0x7fFF3cc766fB57D0a46010d0F1582818C4DB2B3C,1,0,3360.7299,,,207
96,0x2D83d947E46d1BAbA92dB00F40EADC4BB2A32966,1,0,232671.0661,,,211
97,0xDE9942f479E154066e1F1a36247e8B49De45eA90,7,0,2056.0426,,,213;16583;19801;19803;20163;21163;21956
98,0xb8aC2c5d8Cc2ba3341e3CdC90fBb1dEEdC006f9f,1,0,795.3296,,,214
99,0x40A24Ea5B6a248f3A138e6BFe3366e78D1Cc71Cb,1,0,183498.3599,,,215
100,0x28d0F9b8af8752ab927d2D319e2C5827F5B13DAb,2,0,593.9817,,,217;10971
101,0x67beb3Dd509b88b706dC5A9f03f50006410b088B,30,0,78849.6881,,,219;4525;14819;15738;15793;16047;16333;18289;20678;20972;21252;21419;21585;21605;21687;21785;21800;22041;22042;22043;22208;22329;22464;22782;22851;22930;22982;23064;23185;23260
102,0x2B1F83B30c1a85E6F93723CBD5D4145f27fdb489,4,0,46982.7936,,,221;17081;22126;22984
103,0xb5693B3FE31603DC8E83bfadf52C00FA294Ddc17,1,0,1691.1926,,,222
104,0xc6404f24DB2f573F07F3A60758765caad198c0c3,2,0,3795.1349,,,223;4568
105,0x777D6F46FD95D501b3BFA892CeF6Cc298DC2310f,1,0,446.6441,,,224
106,0xE9Bb74fe148E41ff9F0A4CAe504005015EE6919d,1,0,13.2825,,,225
107,0xfECeE960146A2076eb2DdE6B58f7F3d5c52Af7D7,1,0,104.4025,,,227
108,0x2bCcD2cB12a82AA827856E272eFD75CdB3BcAB7f,1,0,21.9039,,,228
109,0xbDEf2b2051E2aE113297ee8301e011FD71A83738,1,0,1427.7067,,,233
110,0x8C39b7cB82B9D791ADCc9387098944B635C17B32,28,0,257174.8228,,,234;4682;15054;15367;15613;16042;16645;18238;18239;19968;20890;21185;21363;21529;21706;21895;22143;22280;22477;22529;22592;22632;22706;22868;22983;23145;23216;23358
111,0xaf4DA3BEc83Da5BBDfcEf872E16cd78b26a97477,6,0,75394.502,,,236;5411;16166;18784;21048;21786
112,0xA9821681fEF27Ed817DF77E476DDDAf0aDac4443,1,0,0.0,,,237
113,0x09661a0d967d406F3141f7b9E2fB5efE186936f9,1,0,7.0432,,,238
114,0x4C2d0F9080b4D3299EF51F8684641024522f4549,1,0,3.655,,,239
115,0x9958Ed7f2441c208821Ea14643224812A006D221,1,0,5316.3496,,,240
116,0xC5907a5fBf77495161df1c88982175be1F212968,2,0,7268.8047,,,244;15008
117,0x9B2b78003e469A342977e0a078F6Aef88077acD9,1,0,13.803,,,245
118,0xc12DE812ae612B6d514b52d529F97f6Acb524c8E,12,0,19620.1379,,,246;15047;22064;22273;22394;22551;23160;23161;23258;23329;23440;23496
119,0x37859514b36EbB1cddb3603E3c340b019348A44B,13,0,15000.7412,,,249;20817;20899;21135;21183;21184;21581;21582;21583;22288;22399;22536;22537
120,0x16EC5EE1cC431cA95de00b6C88d21D0B4d3Fc2a6,1,0,10045.3475,,,253
121,0x3d15514E8eB465099477a11Ca9a78AD9Db17D208,1,0,216.5464,,,256
122,0x10eB74E3BF7aa53C4ce96468A318e5813DCB9A9B,1,0,538.1466,,,257
123,0xaa49a46De3eD31bd1E9B34161b65e54A0F8C46E7,1,0,47.6764,,,258
124,0x385DdFD4568Ca5ae932Cb6F2D19f3D5654172186,1,0,10.2628,,,265
125,0xbD3Df1969B930aC3521552Af2947ceF0C1638107,35,0,113680.2099,,,267;4402;14793;15210;15436;15611;15937;16315;16614;16859;17466;19506;20831;20966;20968;21077;21310;21479;21661;21865;22047;22195;22314;22434;22531;22614;22693;22747;22844;22920;22962;23036;23117;23198;23279
126,0x677f0fB523eCfe8343560ddCAAC47e1Eab34409a,1,0,13.7682,,,268
127,0x0C8AA570a1dfEEE5258F3c13e2e967da24Bbb505,1,0,164.4505,,,270
128,0x1Fe82beA7Aa95e9595777A10712a4A60BCF9c6Be,1,0,534.6183,,,273
129,0x80E42cad02a7f4b30269fD4241D9C33f039a142E,1,0,2.9034,,,277
130,0xB765F80Fd4eBF0ee6D597644DcB5DC48f7fA27bF,1,0,1861.065,,,278
131,0xdF6C74e0387570344C4C36FF77C79fd805c5b5F7,1,0,13.7682,,,280
132,0x4E0985E556069B3D69f4E76DB3e2B8D2B5047956,1,0,838.5181,,,282
133,0x68A8FB23e6fe18D29DA22929c75BE33e43bd81B3,16,0,57348.3755,,,283;16202;16895;17886;18402;20060;20962;21452;21666;21952;22145;22324;22463;22595;22667;22998
134,0xF50BC4876f7aeEee59D7F4a0faBdcf09136de795,27,0,116640.7963,,,284;14824;14866;15128;15347;15921;16162;16872;21084;21085;21314;21473;21641;21834;22056;22270;22472;22473;22642;22643;22721;22795;22860;22932;23003;23083;23263
135,0x61D656C068b93202eCF787A2872c58B39a277b9B,1,0,13.7682,,,285
136,0xdB92e7927ECE5AB5e7d1445863F234819a3C5741,1,0,10.0321,,,289
137,0x9B30f3aCA385c8f6C2192AE527CE993c85ebBa6C,1,0,184.0493,,,292
138,0x15A884C3858fdf00552EeDC08e93f0B5113e1B08,2,0,36242.6616,,,294;4446
139,0x8935D3183d19b4f88BeD80545f282124BA016B04,1,0,852.4764,,,296
140,0x21093947278aEC469f300A7e4515999316885783,3,0,1693.3353,,,297;5061;9415
141,0x87072034175f8a81fBbB6885b041454326861bdE,1,0,6.9793,,,300
142,0x9Fc7725dd6A5C6Af1F520b24306542fB83253485,1,0,15.5039,,,303
143,0x1A55ffEcdD38eb2C43E4E9464E228f218a61f4AD,1,0,183.894,,,304
144,0xCC660E4a6B1b1766911bF5e75E10B6Aa66683B48,1,0,738.5792,,,306
145,0x8Ed7C8465a009bA15f751EE53682257F263a6c80,1,0,437.1974,,,308
146,0xA33d993b8b2e95D9Ca1CAd463aFC63C9d51Bc2D9,2,0,823.1863,,,313;16837
147,0xeeAa0CA304f835a43A4b0e75830E66ee1e657152,3,0,12338.5321,,,314;17436;20161
148,0x694dA39965A6a817cE47B7D3EFA622B992b382f6,1,0,13.7682,,,316
149,0x42492200015c883f24cF5e631208D1081d128666,1,0,13.7682,,,318
150,0x1c46564c7476f3F846abcf73e0a885E445ca85e8,1,0,260.0507,,,319
151,0xa91E492b00c00B6A05186e85754133d2790ea009,2,0,60.707,,,321;8556
152,0x7aE1CD518eCf4546Fc93796dbB26f0Ee0A1B35ba,1,0,303.5614,,,327
153,0x41Bc7d0687e6Cea57Fa26da78379DfDC5627C56d,2,0,295305.4996,,,329;4321
154,0x18F3a61f65519b44a9e8265071Dc1787bcAE4EF3,1,0,19.6027,,,330
155,0xE0E4e9d414E67d607ff0ED05DdEa31432598662A,1,0,173277.0263,,,332
156,0x092E6362C5e0213041876b3864ac8732418693a6,5,0,58653.4031,,,333;19495;20901;20902;21234
157,0xD5dE81E7e5E4F740a26Ebb254d6052e1D03B4787,2,0,17186.3644,,,337;21592
158,0x19D9C35934E600559A176ba91AFAf3cA9177F466,1,0,103.4742,,,338
159,0xA7CaC17803D68D82c93BBa87b172339DD806E70a,1,0,0.5247,,,340
160,0xDbEA6Ca8C5C74f22719e2c73e4BE3a6757703234,1,0,102.595,,,349
161,0x1299bE28376fE9d218919DA47A84aF25E4514C85,1,0,1814.5438,,,350
162,0x60931F62c4a80623DF942d0E88feB34c67Bcff13,5,0,22418.4241,,,352;16223;16684;17142;20727
163,0xC8842a6aE1fDEAb2213821B5267d072547aa7A1f,1,0,3492.4206,,,353
164,0xdd0206010CA82fF22303b58863b3a6f3006C86C4,2,0,4280.1706,,,354;8590
165,0xD635448A89931B899af958e5275e60896BF4c821,2,0,290.3292,,,355;6135
166,0xD3F41CB0f4c3abdA85845D00F10C6b11740509F8,30,0,327384.6171,,,357;8713;16606;18339;19481;19482;19483;19484;20877;20878;20879;20880;20905;21169;21238;21346;21408;21428;21597;22565;22566;22637;22638;22803;22864;22936;23024;23025;23150;23241
167,0xFcEDcb5E28B1f0B7Caf46029A6058d365C5f070f,1,0,95105.3576,,,359
168,0xB0720A40d6335dF0aC90fF9e4b755217632Ca78C,2,0,2387.052,,,360;12746
169,0xFb408FA20c6f6DA099a7492107bC3531911896e3,3,0,1790.4508,,,371;18025;18026
170,0x387a5cC3e37655c18B26d70574A5984e9453FdA3,1,0,152.961,,,372
171,0xeEe01Be18A01f784DaDFa92a3a17D682436d34f8,1,0,29.4472,,,374
172,0xB97e1a86A0C2D2F6AEecbFe61487B7F29BD13f44,2,0,8.9226,,,375;4708
173,0xcAf90CF11AA55eC26E9AbAc1AC0045A422f739b4,1,0,2787.0744,,,377
174,0x5fE9F6fe1BC4FE2acD88A86F3e188a98E16d411b,1,0,28.6846,,,379
175,0xb20aab4cd244CF2645Df2cdfBcD98bA7E2395927,1,0,368.1191,,,380
176,0xf39FFaD178060Bb766697f47A2Ae75d82a0C10b1,3,0,248.2764,,,381;6127;10087
177,0xa4bE81D87aAA36F995adCce282B43Efb5236B61A,1,0,42.9311,,,385
178,0x37b8EF2DA4964886F16c6B14fC87a5C8c9ac4038,1,0,2.0386,,,387
179,0x6c1391672A60fbE5232300fF0DD41dc539DCB44E,1,0,733.0369,,,388
180,0x10044D8833aa97184693befd60EDd61b14a9fb19,1,0,5.8938,,,389
181,0xd0f030668B4498Bcf84c2890c1C05B3E79f774b2,1,0,180.6706,,,390
182,0x2719e4c5F93224F02D7B0cA9F86894A98F49e21B,2,0,0.0283,,,392;10137
183,0xD00Dbbe03D11144177C609682b66073f62da9f89,1,0,0.3643,,,393
184,0xaa099724bb47661D01a5A4cACe4B5575D8Cc0841,1,0,2.5,,,394
185,0x988682054ca48D89ADbd5C027D750A36c86b0493,1,0,1584.4416,,,396
